No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Best
Sampling_ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
mtry,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,
trees,500,500,1000,1000,1500,1500,500,500,1000,1000,1500,1500,500,500,1000,1000,1500,1500,500,500,1000,1000,1500,1500,500,500,1000,1000,1500,1500,500,500,1000,1000,1500,1500,
threshold,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,
Recall,0.413461538,0.403846154,0.423076923,0.423076923,0.423076923,0.423076923,0.432692308,0.423076923,0.423076923,0.423076923,0.432692308,0.413461538,0.403846154,0.403846154,0.451923077,0.432692308,0.413461538,0.394230769,0.480769231,0.471153846,0.461538462,0.461538462,0.471153846,0.471153846,0.490384615,0.480769231,0.480769231,0.461538462,0.471153846,0.471153846,0.480769231,0.471153846,0.490384615,0.461538462,0.480769231,0.461538462,
Precision,0.930290873,0.932296891,0.929287864,0.931293882,0.929789368,0.935807422,0.928786359,0.936810431,0.926780341,0.934302909,0.931293882,0.9332999,0.925777332,0.928786359,0.92778335,0.931795386,0.926780341,0.930792377,0.910732197,0.916248746,0.907221665,0.913741224,0.909729188,0.916248746,0.910732197,0.914242728,0.906218656,0.910732197,0.908224674,0.915245737,0.911233701,0.918254764,0.910230692,0.914242728,0.90672016,0.910732197,
F_Meas,0.572485664,0.56356917,0.581441123,0.5818332,0.581539251,0.582711143,0.59035624,0.582905449,0.580949387,0.582419144,0.590861846,0.573054145,0.562372158,0.562926081,0.607791191,0.590962744,0.571819209,0.553872581,0.629323131,0.622305484,0.611820411,0.613295933,0.620794659,0.622305484,0.637504388,0.630159147,0.628242035,0.612616665,0.620443978,0.622073974,0.62944282,0.622767501,0.637381479,0.613408855,0.628362504,0.612616665,
